x,y
569652.3856263881,6246917.626911718
569652.5353026915,6246917.676241754
569653.1387758804,6246917.8577056145
569653.2908361715,6246917.89910751
569653.5969211021,6246917.973868905
569653.7509457446,6246918.007228404
569654.3701229315,6246918.1243975
569654.5256868826,6246918.149622548
569654.8379248104,6246918.191868583
569654.9945987846,6246918.208889569
569655.6226499901,6246918.260471442
569655.7800016188,6246918.269241393
569656.0949483077,6246918.278506058
569656.2525433715,6246918.279000772
569656.8825406888,6246918.264426427
569657.0399442837,6246918.2566445405
569657.3541256181,6246918.23282564
569657.5109033607,6246918.216788626
569658.1358973514,6246918.136218834
569658.2916166043,6246918.111970951
569658.6015669111,6246918.055331227
569658.6788951685,6246918.04014824
569658.9873572657,6246917.97536456
569659.0642600568,6246917.958155707
569662.5906600566,6246917.120255708
x,y
569671.0960244322,6246909.540978755
569672.6280244328,6246905.3218787545
569672.6554813839,6246905.242844425
569672.7608798365,6246904.925237228
569672.7861221117,6246904.8454679595
569672.882585069,6246904.525169695
569672.9263487998,6246904.363675029
569673.0832604654,6246903.713318935
569673.1179525674,6246903.549635554
569673.1781572277,6246903.220589236
569673.1920665824,6246903.138085667
569673.2430916993,6246902.807359793
569673.2546949032,6246902.724500425
569678.4857200063,6246861.156681126
569685.8725237823,6246827.767067582
569692.1363823587,6246803.191609798
569702.2646147768,6246775.1342319045
569711.8514970191,6246749.589960195
569718.0356513857,6246734.099002894
569718.0520955711,6246734.056892435
569718.116599479,6246733.887964584
569718.1324072474,6246733.845611118
569718.1943512775,6246733.675749748
569718.2095190402,6246733.633162888
569718.2689031926,6246733.462367999
569718.2834275062,6246733.419557415
569724.6763275065,6246714.099157415
569724.6848703981,6246714.072935874
569724.718559153,6246713.967894866
569724.7268606389,6246713.9415959045
569724.7595809905,6246713.836254093
569724.7676403719,6246713.809879922
569724.7993923201,6246713.704237306
569724.8072089128,6246713.677790168
569733.0698089128,6246685.241390168
569733.0731107487,6246685.229941836
569733.0862271107,6246685.184122432
569733.0894834559,6246685.172661061
569733.1024176304,6246685.126790299
569733.1056284248,6246685.115316103
569733.1183804119,6246685.069393983
569733.121545611,6246685.057907119
569741.3917456102,6246654.810007118
569741.4009814195,6246654.775417549
569741.4370977834,6246654.636843778
569741.4459201561,6246654.602146463
569741.480377814,6246654.463161458
569741.4887854957,6246654.428361328
569741.5215844476,6246654.28896509
569741.5295762419,6246654.254067101
569748.6607762425,6246622.237267101
569748.668658135,6246622.200813582
569748.6992781261,6246622.054809173
569748.7067062291,6246622.018260487
569748.7355065409,6246621.871898019
569748.7424797063,6246621.835259816
569748.7694603387,6246621.688539289
569748.7759774895,6246621.651817228
569753.8337774891,6246592.085717228
569753.8435694836,6246592.024702188
569753.8802197922,6246591.780264529
569753.8887529521,6246591.719060741
569753.920353975,6246591.473972041
569753.9276246796,6246591.412605474
569753.9541764167,6246591.166865731
569753.9601815807,6246591.1053624265
569756.6989815811,6246559.715862427
569756.7037574226,6246559.653664944
569756.720272254,6246559.404703298
569756.7237538281,6246559.342419958
569756.7350861286,6246559.093222635
569756.73727193,6246559.030880369
569756.7434216996,6246558.781447369
569756.7443107831,6246558.7190731345
569756.8712107827,6246525.810373134
569756.8712097385,6246525.786968913
569756.8708403935,6246525.693353463
569756.870656765,6246525.669949959
569756.8695571378,6246525.576343091
569756.8691909361,6246525.552941736
569756.8673610272,6246525.459343452
569756.8668122744,6246525.4359456645
569755.9546122743,6246492.090945664
569755.9521057288,6246492.025479348
569755.9392215933,6246491.763754778
569755.9352860712,6246491.698358809
569755.9166942174,6246491.437040323
569755.9113315956,6246491.371745888
569755.8870320235,6246491.110833487
569755.8802448591,6246491.045671721
569752.6502448596,6246463.0097717205
569752.6456897849,6246462.972308383
569752.6265276672,6246462.822575571
569752.621501683,6246462.785172502
569752.6004591824,6246462.635704409
569752.5949630835,6246462.598367519
569752.5720401999,6246462.449164148
569752.566074857,6246462.411899353
569748.718474857,6246439.308399354
569748.7086688315,6246439.252756358
569748.6673523957,6246439.030573445
569748.6565002033,6246438.975124986
569748.6110148701,6246438.753798835
569748.5991203611,6246438.698564585
569748.5494661304,6246438.478095195
569748.5365335242,6246438.423094749
569743.5096335242,6246417.9131947495
569743.4909491473,6246417.840868783
569743.4126216498,6246417.552540172
569743.3921422779,6246417.480701833
569743.306686698,6246417.194501575
569743.2603948663,6246417.05246562
569743.0612009534,6246416.489282918
569743.0078958287,6246416.349727521
569742.8944044635,6246416.07344333
569742.8342182242,6246415.936714539
569742.5800095211,6246415.396130674
569742.5130914089,6246415.262567532
569742.372689251,6246414.9989380995
569742.2992052045,6246414.868871806
569741.9925015838,6246414.356245377
569741.91263382,6246414.229998455
569741.7467126173,6246413.981637028
569741.6606591807,6246413.859522526
569741.3045008589,6246413.379934968
569741.2124751345,6246413.262255692
569741.0226795947,6246413.031624174
569740.924909776,6246412.918671928
569740.5228271979,6246412.476877194
569740.4195557276,6246412.368932071
569740.2077672146,6246412.158316617
569740.0992501734,6246412.055646286
569739.6552290326,6246411.6560237175
569739.5417355034,6246411.558882765
569739.3100533884,6246411.370371116
569739.1918648038,6246411.279000422
569738.7103064884,6246410.9255113015
569738.5877159154,6246410.840137435
569738.3384367665,6246410.67559823
569738.2117481861,6246410.596432889
569737.697426167,6246410.292581199
569737.5669537378,6246410.219820695
569737.3025485551,6246410.080884943
569737.1686158051,6246410.014709696
569736.6266283763,6246409.763507409
569736.489567412,6246409.704081512
569736.2126571339,6246409.5921264235
569736.0728078223,6246409.539597233
569735.5085274427,6246409.343534395
569735.3662365646,6246409.298032167
569735.079566087,6246409.214167507
569734.9351864845,6246409.175805074
569734.3542066475,6246409.036825184
569734.2080963315,6246409.005697671
569733.9145072991,6246408.950754755
569733.76702858,6246408.926939351
569733.1751083125,6246408.846420059
569733.0266268979,6246408.829975817
569732.7290295365,6246408.80449927
569732.5799135974,6246408.795466966
569731.9829203219,6246408.77420642
569731.8335396232,6246408.7726084525
569731.5348838911,6246408.776850814
569731.4602100141,6246408.778841665
569731.1616599391,6246408.790522325
569731.0870587785,6246408.794371803
569712.7059587786,6246409.9724718025
569712.692288813,6246409.973359235
569712.6786199055,6246409.974259134
569712.6649522248,6246409.97517149
569694.3569188808,6246411.215755453
569694.3294074953,6246411.217746772
569694.2194008421,6246411.226217781
569694.1919089011,6246411.228461968
569694.0819894299,6246411.23794366
569694.0545192843,6246411.240440521
569693.9446869952,6246411.250932896
569693.9172409963,6246411.25368222
569669.1061753129,6246413.854320681
569643.0884214978,6246416.217704239
569643.0808243294,6246416.218404087
569643.0504392962,6246416.221242111
569643.042843948,6246416.221961276
569643.0124663532,6246416.224876551
569643.0048729347,6246416.225615021
569642.9745027786,6246416.228607547
569642.9669111191,6246416.2293653395
569620.267411119,6246418.524365339
569620.2350329014,6246418.527816503
569620.1055988187,6246418.542323592
569620.0732599951,6246418.546125973
569619.9439986371,6246418.562036105
569619.9117029946,6246418.566189257
569619.7826143611,6246418.583502433
569619.750365687,6246418.58800587
569599.7243667649,6246421.495464835
569569.6937689764,6246425.007111729
569569.6277242685,6246425.015578675
569569.3639537934,6246425.052373845
569569.2981132638,6246425.062304484
569569.0352891196,6246425.104934135
569568.904350212,6246425.129166204
569568.3830032476,6246425.237667945
569568.2532686731,6246425.267686748
569567.995259455,6246425.333451947
569567.9309237733,6246425.350613335
569567.6743744882,6246425.422106127
569567.6104355273,6246425.440691135
569555.9946355266,6246428.9572911365
569555.9260178853,6246428.978966351
569555.6526265555,6246429.068946298
569555.5845485319,6246429.092261058
569555.3134720216,6246429.188744598
569555.1790911754,6246429.240238164
569554.6468158398,6246429.458982639
569554.515059018,6246429.516861311
569554.2544725888,6246429.638870576
569554.1256429811,6246429.7030011695
569553.6167718777,6246429.971732241
569553.4911659338,6246430.041967184
569553.2434667363,6246430.188379805
569553.1213734862,6246430.26455748
569552.6405877675,6246430.580803065
569552.5222881581,6246430.662748181
569552.2897547922,6246430.8322172975
569552.1755210338,6246430.919741299
569551.7272434441,6246431.28059226
569551.6173384076,6246431.3734937385
569551.402109962,6246431.564460396
569551.2967865509,6246431.662525576
569550.8851408687,6246432.064662387
569550.7846414387,6246432.167665613
569550.588697813,6246432.378373096
569550.4932536198,6246432.486077351
569550.1220265711,6246432.925800754
569550.03185724,6246433.0379582
569549.8570009315,6246433.266468198
569549.7723139523,6246433.3828207515
569549.4449204841,6246433.8560857
569549.365910729,6246433.976365621
569549.2137502515,6246434.220576057
569549.1405995293,6246434.344506571
569548.8600513566,6246434.846959466
569548.7929279925,6246434.9742554
569548.6648630796,6246435.231919766
569548.6039215311,6246435.362288198
569548.3727994312,6246435.8893069485
569548.3181799296,6246436.0224478915
569548.215388658,6246436.291195919
569548.1672168878,6246436.426803004
569547.9876469644,6246436.97353954
569547.9460337729,6246437.111300723
569547.8694617258,6246437.388660182
569547.8345028699,6246437.528258459
569547.7081370025,6246438.089683303
569547.6799129249,6246438.230797448
569547.6302644934,6246438.5142168915
569547.6088401397,6246438.65652219
569547.5368407725,6246439.227470773
569547.5222654425,6246439.370639766
569547.4999973455,6246439.657512002
569547.4923045784,6246439.801215244
569547.4753340391,6246440.376435368
569547.4745415364,6246440.520342188
569547.4798586194,6246440.808028261
569547.485968205,6246440.951807514
569547.5241826063,6246441.526007699
569547.5371802213,6246441.669328538
569547.5700335721,6246441.955182006
569547.5898893081,6246442.097714636
569547.6829371133,6246442.665612775
569547.70960528,6246442.807029215
569547.7696926787,6246443.088420494
569547.8031119108,6246443.228395334
569547.9501371677,6246443.784767301
569547.9902305641,6246443.922978445
569548.0769992631,6246444.197319001
569548.1236745658,6246444.333448413
569548.323324781,6246444.873176109
569548.376474586,6246445.006910545
569548.4891263947,6246445.2716767015
569548.5486283983,6246445.402708422
569548.799066974,6246445.920826852
569548.8647842582,6246446.048854346
569549.0022828858,6246446.301610504
569549.0374255516,6246446.364405315
569549.1809882385,6246446.613862643
569549.2176269162,6246446.675796496
569553.960378127,6246454.477850765
569560.2624440582,6246464.997675502
569560.278072812,6246465.023469066
569560.3411048498,6246465.126326492
569560.3569921148,6246465.15196164
569560.4210517481,6246465.254175058
569560.4371959204,6246465.279649204
569560.502283149,6246465.381218611
569560.5186825912,6246465.4065291695
569570.618582591,6246480.82412917
569570.6319086009,6246480.844293778
569570.6855366764,6246480.924736149
569570.6990247042,6246480.944792726
569570.7532973666,6246481.02479782
569570.7669465496,6246481.044745085
569570.821863799,6246481.124312901
569570.8356732406,6246481.144149544
569580.6769773703,6246495.159992538
569587.3952858823,6246508.921048552
569593.8946942829,6246523.721325294
569599.2639708215,6246546.790174424
569601.8785502027,6246570.090386034
569602.8601215052,6246610.598095258
569602.860202153,6246610.601350502
569602.8605318104,6246610.614371282
569602.8606159914,6246610.617626429
569602.8609597826,6246610.630646883
569602.8610474977,6246610.633901977
569602.8614054229,6246610.646922103
569602.8614966703,6246610.650177072
569603.6673707578,6246638.850846657
569602.7092885729,6246660.374442465
569599.0880486467,6246694.410120672
569599.0850953802,6246694.439226398
569599.0738502494,6246694.555704148
569599.0711809505,6246694.584837295
569599.0610726804,6246694.701413624
569599.0586876035,6246694.730571419
569599.0497161942,6246694.847246327
569599.0476155664,6246694.876425987
569597.1933155666,6246722.515425988
569597.1899220484,6246722.574819193
569597.1787047312,6246722.812503244
569597.1764895909,6246722.871952063
569597.1699888066,6246723.1097650435
569597.1689529155,6246723.169246098
569597.1671686639,6246723.407188009
569597.1673124293,6246723.466677909
569597.5810124287,6246757.0123779075
569597.5816817883,6246757.048759145
569597.5852416574,6246757.1942625
569597.5863522325,6246757.23063294
569597.5916762449,6246757.376071715
569597.5932278718,6246757.41242601
569597.6003160273,6246757.557800203
569597.6023084781,6246757.594133005
569599.4004084783,6246787.108033005
569599.4008450137,6246787.115157654
569601.4427135908,6246820.08605369
569602.5011082095,6246851.968610696
569602.4410350018,6246876.292603673
569602.2194380253,6246879.461227529
569602.2151174686,6246879.536637249
569602.2016349812,6246879.838445872
569602.1992142942,6246879.913940463
569602.1933362179,6246880.215897118
569602.1941993852,6246880.3669494605
